id;slug;name;abrev;userid;image;image_content_type;details;createdat;updatedat
1;interface;one-to-one Granite Grocery;Saint Helena engineer User-centric;Rial Omani generating Licensed Steel Mouse;../fake-data/blob/hipster.png;image/png;Garden Central South Dakota;2020-01-21T08:18:53;2020-01-21T09:24:22
2;digital;Fantastic Soft;Cambridgeshire neutral;Kentucky;../fake-data/blob/hipster.png;image/png;Avon;2020-01-21T15:50:13;2020-01-20T17:49:40
3;Intelligent Granite Fish Automotive;Hawaii transmit;deliverables;generate Faroe Islands Technician;../fake-data/blob/hipster.png;image/png;eyeballs;2020-01-20T22:11:09;2020-01-21T07:18:06
4;Unbranded Sausages;Industrial;Czech Koruna index parsing;Soft;../fake-data/blob/hipster.png;image/png;quantifying;2020-01-21T06:33:00;2020-01-21T10:58:38
5;Singapore Dollar;Generic Concrete Hat CSS Integration;panel Generic Rubber Chicken;microchip;../fake-data/blob/hipster.png;image/png;e-services Fantastic Assurance;2020-01-21T05:43:27;2020-01-21T01:32:08
6;Handmade Concrete Cheese;deposit Solutions eyeballs;Egyptian Pound e-markets Granite;Montana;../fake-data/blob/hipster.png;image/png;Tasty;2020-01-21T07:47:57;2020-01-21T11:47:06
7;withdrawal Awesome Concrete Shirt IB;pink Agent Fresh;black Regional;RSS Marketing;../fake-data/blob/hipster.png;image/png;Extended synergize Trail;2020-01-21T14:05:42;2020-01-21T05:26:08
8;Investment Account hardware;Locks yellow Shore;Small Concrete Chips Burg Quality;neural;../fake-data/blob/hipster.png;image/png;Savings Account empower;2020-01-20T22:03:24;2020-01-21T06:49:33
9;Facilitator full-range architectures;digital extend Well;Customer;program Flats;../fake-data/blob/hipster.png;image/png;calculating Ouguiya cross-media;2020-01-21T10:37:46;2020-01-20T18:46:02
10;Chips;synergistic Investment Account back-end;Station;compressing;../fake-data/blob/hipster.png;image/png;Springs;2020-01-21T16:27:31;2020-01-21T05:13:05
