id;slug;userid;tourid;tourgroupid;categoryid;productid;evenementid;createdat;updatedat
1;Marketing;55218;31093;18538;87284;10745;43093;2020-01-21T10:32:14;2020-01-20T16:40:55
2;ADP cultivate;25552;87115;54021;14339;75045;49702;2020-01-21T13:52:09;2020-01-20T17:26:40
3;payment calculate;98656;90100;16182;91288;90651;55098;2020-01-20T22:12:00;2020-01-21T07:41:29
4;monitor transparent Garden;7630;87927;43848;55477;27795;56176;2020-01-20T23:27:43;2020-01-20T22:51:55
5;Interactions;46497;34376;42070;3523;95458;73255;2020-01-21T13:59:29;2020-01-20T17:01:31
6;Turks and Caicos Islands;9760;68432;85240;64554;31150;84909;2020-01-20T19:42:00;2020-01-21T02:37:59
7;Planner world-class orange;81285;5007;33616;24756;24418;52992;2020-01-21T15:16:57;2020-01-21T12:58:59
8;Consultant wireless;53204;89911;28108;21028;24322;56429;2020-01-21T04:58:54;2020-01-21T09:09:07
9;iterate;7394;85685;74020;58490;90762;9912;2020-01-20T19:48:20;2020-01-21T07:04:39
10;Malaysian Ringgit Kids Chips;73195;12970;42055;59734;55755;3267;2020-01-20T19:12:50;2020-01-21T13:04:37
