id;subtotal;total;tax;shipping;shippingstate;about;couponconde;qrcode;code;url;token;paymentmode;startdate;enddate;enventstate;places
1;30915;48732;76411;8891;PENDING;Agent Minnesota;SMS;../fake-data/blob/hipster.txt;system bleeding-edge;https://casey.org;collaborative Egyptian Pound Investment Account;Refined bandwidth;2020-02-12T09:20:53;2020-02-11T21:32:29;COMPLETED;61043
2;90678;29264;12001;96195;COMPLETED;neural front-end pixel;protocol monetize;../fake-data/blob/hipster.txt;proactive matrix;https://everette.org;SCSI;uniform Consultant;2020-02-11T16:04:16;2020-02-12T01:41:38;PENDING;94630
3;6743;62524;76965;46708;COMPLETED;Senior;calculate seamless Digitized;../fake-data/blob/hipster.txt;Gorgeous Rubber Pants New Jersey;https://lesley.net;deploy District;invoice;2020-02-12T04:35:21;2020-02-12T06:20:14;PENDING;88145
4;88194;25724;75041;72386;PENDING;Cross-platform Palladium;Integration channels;../fake-data/blob/hipster.txt;Mountain Programmable Saudi Riyal;https://laney.com;hack Bedfordshire;Place Mouse;2020-02-12T06:02:00;2020-02-11T16:27:54;PENDING;57782
5;60561;90427;35718;75052;PENDING;deposit back up invoice;purple National Coordinator;../fake-data/blob/hipster.txt;interfaces Officer quantify;https://aniya.info;Assistant functionalities Representative;North Carolina Licensed Plastic Tuna Investment Account;2020-02-12T00:19:29;2020-02-11T14:18:48;SUSPEND;63778
6;25229;97461;48313;36353;PENDING;online 6th generation;Sausages Money Market Account XSS;../fake-data/blob/hipster.txt;Hat Hat Metrics;http://brant.net;capacitor THX Handmade Rubber Car;Unions;2020-02-11T22:04:28;2020-02-11T17:31:11;COMPLETED;38101
7;48299;74179;85071;36248;COMPLETED;Handmade;Plastic Montana;../fake-data/blob/hipster.txt;Nevada;http://rowena.com;Executive;Markets;2020-02-11T15:53:44;2020-02-12T08:43:34;SUSPEND;17158
8;23466;91143;61288;47546;SUSPEND;backing up Division Liaison;Programmable;../fake-data/blob/hipster.txt;COM compress;http://markus.name;e-commerce solution Buckinghamshire;pixel deposit;2020-02-12T02:33:20;2020-02-11T19:32:43;PENDING;29366
9;11663;5136;78752;35765;PENDING;Antarctica (the territory South of 60 deg S) e-enable alarm;Future;../fake-data/blob/hipster.txt;Uzbekistan Bacon;https://cheyanne.name;Group;methodical wireless;2020-02-11T14:14:11;2020-02-11T20:24:47;PENDING;20576
10;23303;91508;90313;66193;PENDING;Bacon Unbranded Steel Car;Grocery;../fake-data/blob/hipster.txt;Practical content Multi-layered;https://kathlyn.info;invoice;Borders Nepalese Rupee generating;2020-02-12T02:13:47;2020-02-11T12:18:16;COMPLETED;65291
