id;title;subtitle;logo;logodata;logodata_content_type;bg;bgdata;bgdata_content_type
1;grow;Officer efficient;Plastic;../fake-data/blob/hipster.png;image/png;Security;../fake-data/blob/hipster.png;image/png
2;Awesome Concrete Car;index synthesizing indexing;Saint Pierre and Miquelon;../fake-data/blob/hipster.png;image/png;application;../fake-data/blob/hipster.png;image/png
3;AGP;Refined Plastic Tuna reinvent synthesizing;Bacon;../fake-data/blob/hipster.png;image/png;bluetooth;../fake-data/blob/hipster.png;image/png
4;Investor;IB;Baby Junction CSS;../fake-data/blob/hipster.png;image/png;Knoll strategic;../fake-data/blob/hipster.png;image/png
5;Cambridgeshire Burkina Faso;Quality Barbados enterprise;interface withdrawal Fiji;../fake-data/blob/hipster.png;image/png;Gorgeous Fresh Car architect Awesome Concrete Mouse;../fake-data/blob/hipster.png;image/png
6;deposit;artificial intelligence;sky blue Intelligent Steel Shoes;../fake-data/blob/hipster.png;image/png;Kiribati Roads XSS;../fake-data/blob/hipster.png;image/png
7;virtual;Auto Loan Account microchip;user-facing Illinois;../fake-data/blob/hipster.png;image/png;THX;../fake-data/blob/hipster.png;image/png
8;Bacon;Senior;Uruguay Money Market Account;../fake-data/blob/hipster.png;image/png;Operative Steel;../fake-data/blob/hipster.png;image/png
9;Rand Namibia Dollar Money Market Account;overriding Bacon;Personal Loan Account gold;../fake-data/blob/hipster.png;image/png;Orchestrator;../fake-data/blob/hipster.png;image/png
10;compressing;Baby;protocol;../fake-data/blob/hipster.png;image/png;reinvent;../fake-data/blob/hipster.png;image/png
