id;slug;categoryid;userid;totalprice;createdat;updatedat
1;copy;66986;666;6441;2020-01-20T21:13:27;2020-01-21T03:04:04
2;Savings Account;51129;69752;47083;2020-01-20T22:51:57;2020-01-20T19:19:11
3;Pizza back-end Rial Omani;24132;58043;71571;2020-01-21T04:14:57;2020-01-21T02:27:12
4;bus Cordoba Oro;87361;10625;83348;2020-01-21T00:16:49;2020-01-21T02:29:22
5;Wooden AI SMTP;64493;47145;56570;2020-01-21T02:00:23;2020-01-21T07:45:47
6;Florida Nepalese Rupee;58482;67562;71205;2020-01-21T14:22:30;2020-01-21T10:08:23
7;bus Summit;58389;56368;66246;2020-01-21T16:17:20;2020-01-21T15:52:20
8;monitor;90733;61427;6623;2020-01-21T01:19:56;2020-01-21T14:32:06
9;Bedfordshire auxiliary;25455;26157;62957;2020-01-21T01:37:41;2020-01-21T14:44:06
10;User-centric;57616;15769;25243;2020-01-21T04:42:10;2020-01-21T16:22:35
