id;slug;name;abrev;logo;logodata;logodata_content_type;createdat;updatedat
1;architectures Frozen Virginia;wireless Soft primary;SAS bluetooth JBOD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-12T15:50:54;2020-02-12T19:38:46
2;Small Metal Shoes Skyway IB;regional SDD;Savings Account Administrator Meadow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-12T17:06:52;2020-02-12T07:14:58
3;invoice;Home Loan Account;integrate Orchestrator;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-13T00:16:08;2020-02-12T16:45:10
4;Hong Kong Dollar matrix user-facing;Borders;Money Market Account Shoes;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-13T06:26:47;2020-02-12T18:52:53
5;next-generation enable neural;Investor;Home Loan Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-13T03:54:10;2020-02-13T00:39:19
6;Salad;Human;online turquoise red;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-13T01:38:45;2020-02-13T06:30:02
7;National;Research wireless;Reactive secured line;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-12T12:59:41;2020-02-13T05:58:57
8;Gorgeous Future;Borders;application;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-12T19:07:25;2020-02-12T18:00:22
9;Applications optical web-enabled;Sports;User-centric;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-12T22:06:19;2020-02-12T11:04:49
10;Licensed;GB primary Summit;Director;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-02-12T07:58:16;2020-02-13T03:10:36
