id;slug;userid;categoryid;productid;tourid;tourgroupid;evenementid;createdat;updatedat
1;paradigms quantify 1080p;5613;47844;20695;5798;86955;43466;2020-01-21T10:03:22;2020-01-21T07:56:59
2;bleeding-edge function;45529;16735;22822;67431;81062;88180;2020-01-21T08:41:53;2020-01-21T02:12:38
3;implementation;74420;33723;12693;57032;94676;97990;2020-01-20T18:47:00;2020-01-21T00:10:23
4;green Botswana;66206;21015;42625;81264;98134;10432;2020-01-21T10:02:51;2020-01-20T19:37:00
5;Village;29751;87313;25202;22675;26462;28603;2020-01-20T19:30:28;2020-01-21T14:57:55
6;Agent invoice;33408;41305;82903;43941;75529;62807;2020-01-21T09:47:24;2020-01-21T05:54:55
7;web-enabled system-worthy withdrawal;67873;51855;71963;84468;20869;81608;2020-01-21T14:07:34;2020-01-21T07:29:01
8;Small Granite Keyboard;16662;3357;890;45204;82598;25726;2020-01-21T12:10:27;2020-01-21T11:37:38
9;Incredible Granite Shirt SDD;84213;90124;44823;21843;95873;57822;2020-01-21T01:58:40;2020-01-21T07:42:09
10;Senior Baby FTP;68821;96860;64067;5381;36098;98175;2020-01-20T22:45:29;2020-01-21T03:16:56
