id;slug;userid;urltarget;message;title;logo;logodata;logodata_content_type;isview;notificationmodel;createdat;updatedat
1;Rustic bleeding-edge;85985;Jewelery;Metal systematic generate;purple Shores transmitting;copying vertical;../fake-data/blob/hipster.png;image/png;true;INTERNAL;2020-02-11T12:06:21;2020-02-12T06:13:37
2;invoice Credit Card Account;67108;District Sports;invoice partnerships Forges;workforce Officer solutions;asymmetric Gloves mindshare;../fake-data/blob/hipster.png;image/png;true;INTERNAL;2020-02-11T18:29:11;2020-02-11T19:52:59
3;Health FTP;72330;deposit Borders;metrics client-server;multi-byte Usability;Jewelery;../fake-data/blob/hipster.png;image/png;true;INTERNAL;2020-02-12T06:48:23;2020-02-12T10:21:08
4;workforce;5558;system;wireless Engineer Home Loan Account;back up bluetooth;Pataca Checking Account;../fake-data/blob/hipster.png;image/png;false;SMS;2020-02-12T00:29:48;2020-02-12T07:10:13
5;Lithuanian Litas Chief;60955;Global withdrawal;Fantastic European Monetary Unit (E.M.U.-6);scale SMTP Home;Saint Barthelemy;../fake-data/blob/hipster.png;image/png;true;PUSH;2020-02-11T15:47:34;2020-02-12T01:03:24
6;override;74668;GB Analyst;AGP;deposit Jamaica;regional New York Grocery;../fake-data/blob/hipster.png;image/png;false;SMS;2020-02-11T17:25:25;2020-02-12T04:03:54
7;Executive Administrator panel;89355;Comoro Franc;ivory Configurable;Tuna Tennessee visualize;Product;../fake-data/blob/hipster.png;image/png;true;SMS;2020-02-11T10:59:01;2020-02-12T03:38:37
8;New Zealand Dollar Investment Account;60182;Markets;Dominican Peso;sensor;Kroon Digitized;../fake-data/blob/hipster.png;image/png;false;PUSH;2020-02-11T23:59:49;2020-02-11T16:49:57
9;Fresh;52589;Generic Plastic Chips;Cambridgeshire;invoice Forward Mobility;evolve invoice District;../fake-data/blob/hipster.png;image/png;true;INTERNAL;2020-02-11T19:27:50;2020-02-12T08:59:33
10;systems real-time utilisation;18889;Designer Granite robust;Throughway;Cambridgeshire Key;Checking Account primary Minnesota;../fake-data/blob/hipster.png;image/png;true;SMS;2020-02-11T15:29:45;2020-02-11T16:10:56
