id;slug;userid;paymentmethodid;evenementid;productid;categoryid;expireat;code;code_1;code_2;amount;createdat;updatedat
1;sky blue;5533;55420;88454;19330;17032;2020-01-21T01:27:18;indexing strategize;frictionless;Engineer;41225;2020-01-20T21:01:55;2020-01-21T10:02:29
2;Concrete National;57524;38576;74291;92410;95044;2020-01-21T14:04:42;mobile Self-enabling;Incredible;Sleek brand;54919;2020-01-21T09:53:05;2020-01-21T15:28:45
3;Salad Ergonomic Concrete Shoes Realigned;10734;31361;6321;13769;298;2020-01-20T18:17:56;Sleek;Courts Creative Computers;enterprise 1080p backing up;57122;2020-01-21T04:17:30;2020-01-21T06:21:34
4;benchmark visualize;63644;91475;42831;32496;6260;2020-01-21T11:49:49;Somali Shilling Pants;Manager Bouvet Island (Bouvetoya) Self-enabling;Home Loan Account;433;2020-01-21T04:37:17;2020-01-21T15:59:37
5;Checking Account;12623;33838;3655;47948;72100;2020-01-21T00:12:38;Pizza Swedish Krona Buckinghamshire;Accounts turquoise;strategic Investment Account;28085;2020-01-21T06:49:44;2020-01-20T20:07:34
6;Investment Account Cotton;88776;31695;11521;37540;18752;2020-01-21T12:40:11;Prairie;Research Programmable index;Manager Internal;88221;2020-01-21T05:50:33;2020-01-20T23:19:21
7;Clothing;40272;30024;34392;96296;20797;2020-01-21T09:49:43;European Monetary Unit (E.M.U.-6) initiative;Gorgeous Tala;revolutionize mint green;66416;2020-01-20T18:17:44;2020-01-21T07:30:14
8;Cambridgeshire Awesome Auto Loan Account;93414;48994;63713;23470;51176;2020-01-21T02:28:36;payment Missouri;Industrial Ball neutral;Distributed Borders Plastic;88224;2020-01-20T20:33:09;2020-01-21T04:22:24
9;niches Iowa;27827;98396;26629;30673;49436;2020-01-21T13:06:46;Maine Gambia success;solid state;Officer Graphical User Interface;29838;2020-01-20T20:35:42;2020-01-21T15:42:22
10;Personal Loan Account B2C;42493;24013;95432;92248;63201;2020-01-21T00:29:05;Prairie actuating Global;index index;Incredible Plastic Mouse back up Product;89194;2020-01-21T04:05:06;2020-01-21T09:19:42
