id;slug;name;logo;logodata;logodata_content_type;createdat;updatedat
1;Garden;Technician Kyrgyz Republic transmit;Industrial seamless Roads;../fake-data/blob/hipster.png;image/png;2020-01-21T08:25:54;2020-01-21T03:53:42
2;deploy TCP Pants;Michigan Avon;transmit Front-line withdrawal;../fake-data/blob/hipster.png;image/png;2020-01-20T17:50:45;2020-01-21T05:10:30
3;Facilitator;Jewelery;bricks-and-clicks;../fake-data/blob/hipster.png;image/png;2020-01-21T12:02:41;2020-01-21T16:30:55
4;Jewelery;Central Bike Burundi;Cotton;../fake-data/blob/hipster.png;image/png;2020-01-20T17:42:11;2020-01-21T00:41:03
5;zero defect;Applications Swedish Krona Shoals;Tasty Administrator;../fake-data/blob/hipster.png;image/png;2020-01-21T16:32:29;2020-01-21T03:07:30
6;Mauritius lavender;Lead B2B Hong Kong Dollar;Soft Chair;../fake-data/blob/hipster.png;image/png;2020-01-21T09:26:47;2020-01-21T01:22:07
7;extensible intangible;Communications Response Ergonomic;application solution Ridges;../fake-data/blob/hipster.png;image/png;2020-01-21T10:04:23;2020-01-21T00:55:17
8;Shirt Dynamic;port New Jersey;RAM Factors Global;../fake-data/blob/hipster.png;image/png;2020-01-20T21:16:10;2020-01-21T03:44:40
9;SSL array Danish Krone;Credit Card Account SAS;Direct Automated;../fake-data/blob/hipster.png;image/png;2020-01-21T16:00:24;2020-01-21T10:11:42
10;Kids Steel Generic;Generic Steel Mouse Executive;reciprocal Interactions;../fake-data/blob/hipster.png;image/png;2020-01-21T02:58:24;2020-01-21T04:09:34
