id;slug;userid;categoryid;productid;tourid;tourgroupid;evenementid;value;createdat;updatedat
1;quantify;84647;51224;32820;93498;96429;29046;83508;2020-02-12T05:00:52;2020-02-12T01:50:18
2;Functionality cyan;61146;29242;93439;42730;48763;41046;35790;2020-02-11T22:17:38;2020-02-11T18:39:05
3;bus;92449;17891;6542;81622;39877;61816;5912;2020-02-12T01:51:19;2020-02-12T07:50:06
4;Rustic next-generation;13592;61951;91481;5594;48175;65650;96647;2020-02-11T20:24:07;2020-02-11T22:30:01
5;Village transmitter transmitting;57909;37814;90146;76503;45576;50293;69526;2020-02-11T23:46:52;2020-02-11T21:58:09
6;withdrawal Assurance;53575;41772;26533;40781;57876;38839;99118;2020-02-11T19:35:35;2020-02-12T05:46:53
7;Small granular Drive;69333;79332;2586;17381;16701;8702;72251;2020-02-12T04:28:10;2020-02-12T03:28:05
8;mobile PNG;90705;26464;42947;47268;1730;35197;72929;2020-02-12T02:50:03;2020-02-11T19:19:26
9;Corporate generate withdrawal;69262;36048;71501;1186;76863;10405;93515;2020-02-11T18:46:47;2020-02-12T01:00:41
10;Plastic actuating Table;65801;23084;88176;2769;17687;87178;86645;2020-02-11T12:48:42;2020-02-11T16:32:06
